module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.649304;  status:                   0 ; gyro:                       0.0625, -0.109375, 0.046875;  accel:               0.00075, 0.02825, 0.99675; temp:32.096667592741525; mag:          
time:  0.654110;  status:                   0 ; gyro:                       0.09375, -0.109375, 0.03125;  accel:                0.00125, 0.0285, 0.99675; temp:32.096667592741525; mag:          
time:  0.658916;  status:                   0 ; gyro:                      0.109375, -0.109375, 0.03125;  accel:                  0.0015, 0.029, 0.99675; temp:32.096667592741525; mag:          
time:  0.663694;  status:                   0 ; gyro:                          0.125, -0.09375, 0.03125;  accel:                  0.00175, 0.0295, 0.997; temp:32.096667592741525; mag:          
time:  0.668616;  status:                   0 ; gyro:                        0.125, -0.109375, 0.046875;  accel:                     0.002, 0.03, 0.9975; temp:32.096667592741525; mag:          
time:  0.673366;  status:                   0 ; gyro:                       0.109375, -0.109375, 0.0625;  accel:                 0.002, 0.03025, 0.99775; temp:32.096667592741525; mag:          
time:  0.678191;  status:                   0 ; gyro:                       0.09375, -0.09375, 0.078125;  accel:                 0.00175, 0.03025, 0.998; temp:32.096667592741525; mag:          
time:  0.682987;  status:                   0 ; gyro:                      0.078125, -0.078125, 0.09375;  accel:                     0.0015, 0.03, 0.998; temp:32.096667592741525; mag:          
time:  0.687814;  status:                   0 ; gyro:                        0.078125, -0.0625, 0.09375;  accel:                    0.00125, 0.03, 0.998; temp:32.096667592741525; mag:          
time:  0.692575;  status:                   0 ; gyro:                     0.078125, -0.046875, 0.078125;  accel:                 0.00125, 0.02975, 0.998; temp:32.096667592741525; mag:          
time:  0.697420;  status:                   0 ; gyro:                         0.0625, -0.0625, 0.046875;  accel:                  0.001, 0.02975, 0.9985; temp:32.096667592741525; mag:          
time:  0.702196;  status:                   0 ; gyro:                        0.046875, -0.0625, 0.03125;  accel:                 0.001, 0.02975, 0.99875; temp:32.096667592741525; mag:          
time:  0.707052;  status:                   0 ; gyro:                            0.015625, -0.0625, 0.0;  accel:                   0.001, 0.029, 0.99875; temp:32.096667592741525; mag:          
time:  0.711828;  status:                   0 ; gyro:                         0.0, -0.046875, -0.015625;  accel:                  0.001, 0.0285, 0.99825; temp:32.096667592741525; mag:          
time:  0.716657;  status:                   0 ; gyro:                           0.0, -0.0625, -0.015625;  accel:                   0.0015, 0.028, 0.9975; temp:32.096667592741525; mag:          
time:  0.721446;  status:                   0 ; gyro:                               0.0, -0.078125, 0.0;  accel:                  0.00175, 0.028, 0.9965; temp:32.096667592741525; mag:          
time:  0.726323;  status:                   0 ; gyro:                                0.0, -0.09375, 0.0;  accel:                   0.00125, 0.028, 0.996; temp:32.096667592741525; mag:          
time:  0.731071;  status:                   0 ; gyro:                       0.03125, -0.09375, 0.015625;  accel:                  0.00075, 0.0285, 0.996; temp:32.096667592741525; mag:          
time:  0.735904;  status:                   0 ; gyro:                      0.046875, -0.09375, 0.015625;  accel:                  0.0005, 0.029, 0.99575; temp:32.096667592741525; mag:          
time:  0.740661;  status:                   0 ; gyro:                        0.0625, -0.078125, 0.03125;  accel:                  0.00075, 0.0295, 0.996; temp:32.096667592741525; mag:          
time:  0.745503;  status:                   0 ; gyro:                      0.078125, -0.078125, 0.03125;  accel:               0.00125, 0.02975, 0.99625; temp:32.096667592741525; mag:          
time:  0.750334;  status:                   0 ; gyro:                       0.09375, -0.078125, 0.03125;  accel:                 0.0015, 0.02975, 0.9965; temp:32.096667592741525; mag:          
time:  0.755147;  status:                   0 ; gyro:                     0.078125, -0.078125, 0.046875;  accel:                  0.00175, 0.03, 0.99675; temp:32.096667592741525; mag:          
time:  0.759947;  status:                   0 ; gyro:                       0.0625, -0.078125, 0.046875;  accel:                  0.00175, 0.03, 0.99675; temp:32.096667592741525; mag:          
time:  0.764813;  status:                   0 ; gyro:                         0.046875, -0.0625, 0.0625;  accel:                   0.0015, 0.03, 0.99675; temp:32.096667592741525; mag:          
time:  0.769628;  status:                   0 ; gyro:                          0.03125, -0.0625, 0.0625;  accel:                    0.0015, 0.03, 0.9965; temp:32.096667592741525; mag:          
